S. No.,Month,Stage,Continent,HQ,Type of RE 1,Type of RE 2,Type of RE 3,Type of RE 4,Business Model 1,Business Model 2,Business Model 3,Business Model 4,PropTech Vertical 1,PropTech Vertical 2,PropTech Vertical 3,PropTech Vertical 4
55,February,Seed,North America,Canada,Residential,,,,,,,,Co-Living,,,
56,February,Seed,Europe,Germany,Residential,Commercial,,,,,,,PropFinTech,,,
57,February,Series A,Middle East,Israel,Residential,,,,,,,,SecurityTech,,,
58,February,Seed,Europe,UK,Commercial,,,,,,,,LegalTech,,,
59,February,Seed,Europe,UK,Residential,Commercial,,,,,,,PropFinTech,,,
60,February,Series A,North America,US,Commercial,,,,,,,,Smart Building,ClimateTech,,
61,February,TBD,North America,US,Commercial,,,,,,,,Smart Building,,,
62,February,Seed,Middle East,Israel,Commercial,,,,,,,,Smart City,,,
63,February,Series B,Middle East,Israel,Commercial,,,,,,,,Smart Building,,,
64,February,Series A,Middle East,Turkey,Residential,Commercial,,,,,,,Hybrid Letting Platform,,,
65,February,Seed,Europe,Spain,Residential,,,,,,,,Property Sales,,,
66,February,Seed,Europe,UK,Residential,,,,,,,,LegalTech,,,
67,February,Seed,Europe,UK,Residential,,,,eCommerce Platform,,,,PropFinTech,,,
68,February,Series A,Europe,France,Commercial,Residential,Infrastructure,,,,,,Smart Building,,,
